Unnamed: 0,Title,Video ID,Published At,Keyword,Likes,Comments,Views
0,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,2022-08-23,tech,3407.0,672.0,135612.0
1,The most EXPENSIVE thing I own.,b3x28s61q3c,2022-08-24,tech,76779.0,4306.0,1758063.0
2,My New House Gaming Setup is SICK!,4mgePWWCAmA,2022-08-23,tech,63825.0,3338.0,1564007.0
3,Petrol Vs Liquid Nitrogen | Freezing Experiment | പെട്രോളിനെ ഐസ് ആകാൻ പറ്റുമോ | M4 Tech |,kXiYSI7H2b0,2022-08-23,tech,71566.0,1426.0,922918.0
4,Best Back to School Tech 2022!,ErMwWXQxHp0,2022-08-08,tech,96513.0,5155.0,1855644.0
5,Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,2021-11-05,tech,33570.0,1643.0,943119.0
6,Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,2022-06-13,tech,135047.0,9367.0,5937790.0
7,I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,2022-08-07,tech,216935.0,12605.0,4782514.0
8,15 Emerging Technologies that Will Change the World,wLlL46pYcg4,2021-12-08,tech,45565.0,2882.0,7001236.0
9,Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,2022-07-14,tech,24252.0,1068.0,667767.0
